name,address,phone
Hospital 1,Address 1,1111111111
Hospital 2,Address 2,2222222222
Hospital 3,Address 3,3333333333
Hospital 4,Address 4,4444444444
Hospital 5,Address 5,5555555555
Hospital 6,Address 6,6666666666
Hospital 7,Address 7,7777777777
Hospital 8,Address 8,8888888888
Hospital 9,Address 9,9999999999
Hospital 10,Address 10,1010101010
Hospital 11,Address 11,1111111111
Hospital 12,Address 12,1212121212
Hospital 13,Address 13,1313131313
Hospital 14,Address 14,1414141414
Hospital 15,Address 15,1515151515
Hospital 16,Address 16,1616161616
Hospital 17,Address 17,1717171717
Hospital 18,Address 18,1818181818
Hospital 19,Address 19,1919191919
Hospital 20,Address 20,2020202020
Hospital 21,Address 21,2121212121
